entry_id,target_type,query_pattern,formula,method_applicability,marker_class,subclass,tool_class5,paper9_hint,origin_interpretation,matrix_applicability,confidence,source_ids,evidence_short,conflict_warning,rule_notes,synonyms
M0011,compound,ethylguaiacol,C9H12O2,Py-GC/MS,lignin_tannin_phenolic,methoxyphenol_or_polyhydroxy_aromatic,L,O-aromatics,terrestrial vascular plant / lignin / tannin,sediment;soil;peat;plant material;DOM/NOM reference,A,PY003;PY004;PY005;PY006;PY009;PY011,alkylated guaiacyl lignin marker,"phenol and simple alkylphenols can also derive from protein, charcoal, or secondary pyrolysis; use confidence field",Prefer methoxyphenols over generic phenols for source-specific lignin assignment,
M0012,compound,vinylguaiacol,C9H10O2,Py-GC/MS,lignin_tannin_phenolic,methoxyphenol_or_polyhydroxy_aromatic,L,O-aromatics,terrestrial vascular plant / lignin / tannin,sediment;soil;peat;plant material;DOM/NOM reference,A,PY003;PY004;PY005;PY006;PY009;PY011,guaiacyl lignin marker,"phenol and simple alkylphenols can also derive from protein, charcoal, or secondary pyrolysis; use confidence field",Prefer methoxyphenols over generic phenols for source-specific lignin assignment,4-vinylguaiacol
M0013,compound,eugenol,C10H12O2,Py-GC/MS,lignin_tannin_phenolic,methoxyphenol_or_polyhydroxy_aromatic,L,O-aromatics,terrestrial vascular plant / lignin / tannin,sediment;soil;peat;plant material;DOM/NOM reference,A,PY003;PY004;PY005;PY006;PY009;PY011,guaiacyl phenylpropanoid marker,"phenol and simple alkylphenols can also derive from protein, charcoal, or secondary pyrolysis; use confidence field",Prefer methoxyphenols over generic phenols for source-specific lignin assignment,
M0014,compound,isoeugenol,C10H12O2,Py-GC/MS,lignin_tannin_phenolic,methoxyphenol_or_polyhydroxy_aromatic,L,O-aromatics,terrestrial vascular plant / lignin / tannin,sediment;soil;peat;plant material;DOM/NOM reference,A,PY003;PY004;PY005;PY006;PY009;PY011,guaiacyl phenylpropanoid marker,"phenol and simple alkylphenols can also derive from protein, charcoal, or secondary pyrolysis; use confidence field",Prefer methoxyphenols over generic phenols for source-specific lignin assignment,
M0015,compound,vanillin,C8H8O3,Py-GC/MS,lignin_tannin_phenolic,methoxyphenol_or_polyhydroxy_aromatic,L,O-aromatics,terrestrial vascular plant / lignin / tannin,sediment;soil;peat;plant material;DOM/NOM reference,A,PY003;PY004;PY005;PY006;PY009;PY011,oxidized guaiacyl lignin marker,"phenol and simple alkylphenols can also derive from protein, charcoal, or secondary pyrolysis; use confidence field",Prefer methoxyphenols over generic phenols for source-specific lignin assignment,4-hydroxy-3-methoxybenzaldehyde
M0016,compound,acetovanillone,C9H10O3,Py-GC/MS,lignin_tannin_phenolic,methoxyphenol_or_polyhydroxy_aromatic,L,O-aromatics,terrestrial vascular plant / lignin / tannin,sediment;soil;peat;plant material;DOM/NOM reference,A,PY003;PY004;PY005;PY006;PY009;PY011,oxidized guaiacyl lignin marker,"phenol and simple alkylphenols can also derive from protein, charcoal, or secondary pyrolysis; use confidence field",Prefer methoxyphenols over generic phenols for source-specific lignin assignment,apocynin
M0017,compound,coniferyl alcohol,C10H12O3,Py-GC/MS,lignin_tannin_phenolic,methoxyphenol_or_polyhydroxy_aromatic,L,O-aromatics,terrestrial vascular plant / lignin / tannin,sediment;soil;peat;plant material;DOM/NOM reference,A,PY003;PY004;PY005;PY006;PY009;PY011,guaiacyl lignin monomer-related product,"phenol and simple alkylphenols can also derive from protein, charcoal, or secondary pyrolysis; use confidence field",Prefer methoxyphenols over generic phenols for source-specific lignin assignment,
M0018,compound,ferulic acid|methyl ferulate,C10H10O4,Py-GC/MS,lignin_tannin_phenolic,methoxyphenol_or_polyhydroxy_aromatic,L,O-aromatics,terrestrial vascular plant / lignin / tannin,sediment;soil;peat;plant material;DOM/NOM reference,A,PY003;PY004;PY005;PY006;PY009;PY011,phenylpropanoid / lignin-cutin marker,"phenol and simple alkylphenols can also derive from protein, charcoal, or secondary pyrolysis; use confidence field",Prefer methoxyphenols over generic phenols for source-specific lignin assignment,
M0019,compound,syringol,C8H10O3,Py-GC/MS,lignin_tannin_phenolic,methoxyphenol_or_polyhydroxy_aromatic,L,O-aromatics,terrestrial vascular plant / lignin / tannin,sediment;soil;peat;plant material;DOM/NOM reference,A,PY003;PY004;PY005;PY006;PY009;PY011,syringyl lignin marker,"phenol and simple alkylphenols can also derive from protein, charcoal, or secondary pyrolysis; use confidence field",Prefer methoxyphenols over generic phenols for source-specific lignin assignment,"2,6-dimethoxyphenol"
M0020,compound,methylsyringol,C9H12O3,Py-GC/MS,lignin_tannin_phenolic,methoxyphenol_or_polyhydroxy_aromatic,L,O-aromatics,terrestrial vascular plant / lignin / tannin,sediment;soil;peat;plant material;DOM/NOM reference,A,PY003;PY004;PY005;PY006;PY009;PY011,syringyl lignin marker,"phenol and simple alkylphenols can also derive from protein, charcoal, or secondary pyrolysis; use confidence field",Prefer methoxyphenols over generic phenols for source-specific lignin assignment,
M0021,compound,ethylsyringol,C10H14O3,Py-GC/MS,lignin_tannin_phenolic,methoxyphenol_or_polyhydroxy_aromatic,L,O-aromatics,terrestrial vascular plant / lignin / tannin,sediment;soil;peat;plant material;DOM/NOM reference,A,PY003;PY004;PY005;PY006;PY009;PY011,syringyl lignin marker,"phenol and simple alkylphenols can also derive from protein, charcoal, or secondary pyrolysis; use confidence field",Prefer methoxyphenols over generic phenols for source-specific lignin assignment,
M0022,compound,vinylsyringol,C10H12O3,Py-GC/MS,lignin_tannin_phenolic,methoxyphenol_or_polyhydroxy_aromatic,L,O-aromatics,terrestrial vascular plant / lignin / tannin,sediment;soil;peat;plant material;DOM/NOM reference,A,PY003;PY004;PY005;PY006;PY009;PY011,syringyl lignin marker,"phenol and simple alkylphenols can also derive from protein, charcoal, or secondary pyrolysis; use confidence field",Prefer methoxyphenols over generic phenols for source-specific lignin assignment,
M0023,compound,syringaldehyde,C9H10O4,Py-GC/MS,lignin_tannin_phenolic,methoxyphenol_or_polyhydroxy_aromatic,L,O-aromatics,terrestrial vascular plant / lignin / tannin,sediment;soil;peat;plant material;DOM/NOM reference,A,PY003;PY004;PY005;PY006;PY009;PY011,oxidized syringyl lignin marker,"phenol and simple alkylphenols can also derive from protein, charcoal, or secondary pyrolysis; use confidence field",Prefer methoxyphenols over generic phenols for source-specific lignin assignment,
M0024,compound,acetosyringone,C10H12O4,Py-GC/MS,lignin_tannin_phenolic,methoxyphenol_or_polyhydroxy_aromatic,L,O-aromatics,terrestrial vascular plant / lignin / tannin,sediment;soil;peat;plant material;DOM/NOM reference,A,PY003;PY004;PY005;PY006;PY009;PY011,oxidized syringyl lignin marker,"phenol and simple alkylphenols can also derive from protein, charcoal, or secondary pyrolysis; use confidence field",Prefer methoxyphenols over generic phenols for source-specific lignin assignment,
M0025,compound,sinapaldehyde,C11H12O4,Py-GC/MS,lignin_tannin_phenolic,methoxyphenol_or_polyhydroxy_aromatic,L,O-aromatics,terrestrial vascular plant / lignin / tannin,sediment;soil;peat;plant material;DOM/NOM reference,A,PY003;PY004;PY005;PY006;PY009;PY011,syringyl phenylpropanoid marker,"phenol and simple alkylphenols can also derive from protein, charcoal, or secondary pyrolysis; use confidence field",Prefer methoxyphenols over generic phenols for source-specific lignin assignment,
M0026,compound,safrole|myristicin|apiole|elemicin,,Py-GC/MS,lignin_tannin_phenolic,methoxyphenol_or_polyhydroxy_aromatic,L,O-aromatics,terrestrial vascular plant / lignin / tannin,sediment;soil;peat;plant material;DOM/NOM reference,B,PY003;PY004;PY005;PY006;PY009;PY011,plant phenylpropanoid markers,"phenol and simple alkylphenols can also derive from protein, charcoal, or secondary pyrolysis; use confidence field",Prefer methoxyphenols over generic phenols for source-specific lignin assignment,
M0027,compound,coumarin|coumaric acid|cinnamic acid,,Py-GC/MS,lignin_tannin_phenolic,methoxyphenol_or_polyhydroxy_aromatic,L,O-aromatics,terrestrial vascular plant / lignin / tannin,sediment;soil;peat;plant material;DOM/NOM reference,B,PY003;PY004;PY005;PY006;PY009;PY011,phenylpropanoid / lignin-related marker,"phenol and simple alkylphenols can also derive from protein, charcoal, or secondary pyrolysis; use confidence field",Prefer methoxyphenols over generic phenols for source-specific lignin assignment,
M0028,compound,furan,C4H4O,Py-GC/MS,carbohydrate_polysaccharide,furan_anhydrosugar_oxygenate,C,Furans,cellulose/hemicellulose/polysaccharide; fresh plant or microbial polysaccharide,sediment;soil;peat;plant material;DOM/NOM reference,C,PY001;PY002;PY004;PY005;PY006;PY010,generic furan; carbohydrate pyrolysis but multi-origin,small furans and organic acids are not unique; prioritize levoglucosan/HMF/furfural series,In use carbohydrate-like formula class separately from Py furan markers,
M0029,compound,furfural|2-furaldehyde,C5H4O2,Py-GC/MS,carbohydrate_polysaccharide,furan_anhydrosugar_oxygenate,C,Furans,cellulose/hemicellulose/polysaccharide; fresh plant or microbial polysaccharide,sediment;soil;peat;plant material;DOM/NOM reference,A,PY001;PY002;PY004;PY005;PY006;PY010,cellulose/hemicellulose carbohydrate pyrolysis marker,small furans and organic acids are not unique; prioritize levoglucosan/HMF/furfural series,In use carbohydrate-like formula class separately from Py furan markers,
M0030,compound,5-methylfurfural|methylfurfural,C6H6O2,Py-GC/MS,carbohydrate_polysaccharide,furan_anhydrosugar_oxygenate,C,Furans,cellulose/hemicellulose/polysaccharide; fresh plant or microbial polysaccharide,sediment;soil;peat;plant material;DOM/NOM reference,A,PY001;PY002;PY004;PY005;PY006;PY010,carbohydrate pyrolysis marker,small furans and organic acids are not unique; prioritize levoglucosan/HMF/furfural series,In use carbohydrate-like formula class separately from Py furan markers,
M0031,compound,5-hydroxymethylfurfural|hydroxymethylfurfural|HMF,C6H6O3,Py-GC/MS,carbohydrate_polysaccharide,furan_anhydrosugar_oxygenate,C,Furans,cellulose/hemicellulose/polysaccharide; fresh plant or microbial polysaccharide,sediment;soil;peat;plant material;DOM/NOM reference,A,PY001;PY002;PY004;PY005;PY006;PY010,hexose/cellulose carbohydrate pyrolysis marker,small furans and organic acids are not unique; prioritize levoglucosan/HMF/furfural series,In use carbohydrate-like formula class separately from Py furan markers,
M0032,compound,furfuryl alcohol|furanmethanol,C5H6O2,Py-GC/MS,carbohydrate_polysaccharide,furan_anhydrosugar_oxygenate,C,Furans,cellulose/hemicellulose/polysaccharide; fresh plant or microbial polysaccharide,sediment;soil;peat;plant material;DOM/NOM reference,B,PY001;PY002;PY004;PY005;PY006;PY010,carbohydrate/furan oxygenate,small furans and organic acids are not unique; prioritize levoglucosan/HMF/furfural series,In use carbohydrate-like formula class separately from Py furan markers,
M0033,compound,"levoglucosan|1,6-anhydroglucose",C6H10O5,Py-GC/MS,carbohydrate_polysaccharide,furan_anhydrosugar_oxygenate,C,Furans,cellulose/hemicellulose/polysaccharide; fresh plant or microbial polysaccharide,sediment;soil;peat;plant material;DOM/NOM reference,A,PY001;PY002;PY004;PY005;PY006;PY010,anhydrosugar marker for cellulose/fresh plant polysaccharides,small furans and organic acids are not unique; prioritize levoglucosan/HMF/furfural series,In use carbohydrate-like formula class separately from Py furan markers,
M0034,compound,levoglucosenone,C6H6O3,Py-GC/MS,carbohydrate_polysaccharide,furan_anhydrosugar_oxygenate,C,Furans,cellulose/hemicellulose/polysaccharide; fresh plant or microbial polysaccharide,sediment;soil;peat;plant material;DOM/NOM reference,A,PY001;PY002;PY004;PY005;PY006;PY010,cellulose pyrolysis product,small furans and organic acids are not unique; prioritize levoglucosan/HMF/furfural series,In use carbohydrate-like formula class separately from Py furan markers,
M0035,compound,dianhydroglucopyranose|anhydroglucopyranose,C6H8O4,Py-GC/MS,carbohydrate_polysaccharide,furan_anhydrosugar_oxygenate,C,Furans,cellulose/hemicellulose/polysaccharide; fresh plant or microbial polysaccharide,sediment;soil;peat;plant material;DOM/NOM reference,A,PY001;PY002;PY004;PY005;PY006;PY010,cellulose-derived anhydrosugar,small furans and organic acids are not unique; prioritize levoglucosan/HMF/furfural series,In use carbohydrate-like formula class separately from Py furan markers,
M0036,compound,maltol,C6H6O3,Py-GC/MS,carbohydrate_polysaccharide,furan_anhydrosugar_oxygenate,C,Furans,cellulose/hemicellulose/polysaccharide; fresh plant or microbial polysaccharide,sediment;soil;peat;plant material;DOM/NOM reference,A,PY001;PY002;PY004;PY005;PY006;PY010,sugar/cellulose pyrolysis marker,small furans and organic acids are not unique; prioritize levoglucosan/HMF/furfural series,In use carbohydrate-like formula class separately from Py furan markers,
M0037,compound,isomaltol,C6H6O3,Py-GC/MS,carbohydrate_polysaccharide,furan_anhydrosugar_oxygenate,C,Furans,cellulose/hemicellulose/polysaccharide; fresh plant or microbial polysaccharide,sediment;soil;peat;plant material;DOM/NOM reference,A,PY001;PY002;PY004;PY005;PY006;PY010,sugar pyrolysis marker,small furans and organic acids are not unique; prioritize levoglucosan/HMF/furfural series,In use carbohydrate-like formula class separately from Py furan markers,
M0038,compound,kojic acid,C6H6O4,Py-GC/MS,carbohydrate_polysaccharide,furan_anhydrosugar_oxygenate,C,Furans,cellulose/hemicellulose/polysaccharide; fresh plant or microbial polysaccharide,sediment;soil;peat;plant material;DOM/NOM reference,B,PY001;PY002;PY004;PY005;PY006;PY010,sugar-related oxygenated pyrolysate,small furans and organic acids are not unique; prioritize levoglucosan/HMF/furfural series,In use carbohydrate-like formula class separately from Py furan markers,
M0039,compound,cyclopentenone|hydroxy methyl cyclopentenone,,Py-GC/MS,carbohydrate_polysaccharide,furan_anhydrosugar_oxygenate,C,Furans,cellulose/hemicellulose/polysaccharide; fresh plant or microbial polysaccharide,sediment;soil;peat;plant material;DOM/NOM reference,A,PY001;PY002;PY004;PY005;PY006;PY010,carbohydrate-derived cyclopentenone marker,small furans and organic acids are not unique; prioritize levoglucosan/HMF/furfural series,In use carbohydrate-like formula class separately from Py furan markers,
M0040,compound,pyranone|hydroxy pyranone,,Py-GC/MS,carbohydrate_polysaccharide,furan_anhydrosugar_oxygenate,C,Furans,cellulose/hemicellulose/polysaccharide; fresh plant or microbial polysaccharide,sediment;soil;peat;plant material;DOM/NOM reference,A,PY001;PY002;PY004;PY005;PY006;PY010,carbohydrate-derived pyranone marker,small furans and organic acids are not unique; prioritize levoglucosan/HMF/furfural series,In use carbohydrate-like formula class separately from Py furan markers,
M0041,compound,lactone|butyrolactone|valerolactone,,Py-GC/MS,carbohydrate_polysaccharide,furan_anhydrosugar_oxygenate,C,Furans,cellulose/hemicellulose/polysaccharide; fresh plant or microbial polysaccharide,sediment;soil;peat;plant material;DOM/NOM reference,B,PY001;PY002;PY004;PY005;PY006;PY010,oxygenated carbohydrate/biopolymer pyrolysate,small furans and organic acids are not unique; prioritize levoglucosan/HMF/furfural series,In use carbohydrate-like formula class separately from Py furan markers,
M0042,compound,acetic acid,C2H4O2,Py-GC/MS,carbohydrate_polysaccharide,furan_anhydrosugar_oxygenate,C,Furans,cellulose/hemicellulose/polysaccharide; fresh plant or microbial polysaccharide,sediment;soil;peat;plant material;DOM/NOM reference,C,PY001;PY002;PY004;PY005;PY006;PY010,small organic acid; frequent polysaccharide/OM pyrolysis product but non-specific,small furans and organic acids are not unique; prioritize levoglucosan/HMF/furfural series,In use carbohydrate-like formula class separately from Py furan markers,
M0043,compound,formic acid,CH2O2,Py-GC/MS,carbohydrate_polysaccharide,furan_anhydrosugar_oxygenate,C,Furans,cellulose/hemicellulose/polysaccharide; fresh plant or microbial polysaccharide,sediment;soil;peat;plant material;DOM/NOM reference,C,PY001;PY002;PY004;PY005;PY006;PY010,small oxygenate; non-specific,small furans and organic acids are not unique; prioritize levoglucosan/HMF/furfural series,In use carbohydrate-like formula class separately from Py furan markers,
M0044,compound,glycolaldehyde|glyoxal|methylglyoxal,,Py-GC/MS,carbohydrate_polysaccharide,furan_anhydrosugar_oxygenate,C,Furans,cellulose/hemicellulose/polysaccharide; fresh plant or microbial polysaccharide,sediment;soil;peat;plant material;DOM/NOM reference,B,PY001;PY002;PY004;PY005;PY006;PY010,small oxygenated carbohydrate pyrolysis products,small furans and organic acids are not unique; prioritize levoglucosan/HMF/furfural series,In use carbohydrate-like formula class separately from Py furan markers,
M0045,compound,sorbitol|mannitol|xylitol|inositol|arabitol,,Py-GC/MS,carbohydrate_polysaccharide,furan_anhydrosugar_oxygenate,C,Furans,cellulose/hemicellulose/polysaccharide; fresh plant or microbial polysaccharide,sediment;soil;peat;plant material;DOM/NOM reference,B,PY001;PY002;PY004;PY005;PY006;PY010,sugar alcohols / carbohydrate-related,small furans and organic acids are not unique; prioritize levoglucosan/HMF/furfural series,In use carbohydrate-like formula class separately from Py furan markers,
M0046,compound,pyrrole|methylpyrrole,C4H5N,Py-GC/MS,protein_microbial_N,N_heterocycle_nitrile_amide,P,N-containing aromatics,protein/amino acid/microbial biomass; N cycling,sediment;soil;peat;DOM/NOM;microbial biomass,A,PY001;PY002;PY004;PY005;PY006;PY012;PY013;PY014;PY015,protein/amino acid pyrolysis N-heterocycle,N-containing aromatics can also form during thermal alteration; do not overinterpret as fresh protein without sample context,"For , CHON and protein-like/amino-sugar-like classes provide formula-level support",
M0047,compound,pyridine|methylpyridine|picoline,C5H5N,Py-GC/MS,protein_microbial_N,N_heterocycle_nitrile_amide,P,N-containing aromatics,protein/amino acid/microbial biomass; N cycling,sediment;soil;peat;DOM/NOM;microbial biomass,A,PY001;PY002;PY004;PY005;PY006;PY012;PY013;PY014;PY015,protein/microbial N-heterocycle,N-containing aromatics can also form during thermal alteration; do not overinterpret as fresh protein without sample context,"For , CHON and protein-like/amino-sugar-like classes provide formula-level support",
M0048,compound,pyrazine|methylpyrazine|dimethylpyrazine,C4H4N2,Py-GC/MS,protein_microbial_N,N_heterocycle_nitrile_amide,P,N-containing aromatics,protein/amino acid/microbial biomass; N cycling,sediment;soil;peat;DOM/NOM;microbial biomass,A,PY001;PY002;PY004;PY005;PY006;PY012;PY013;PY014;PY015,protein/amino acid or Maillard-type N marker,N-containing aromatics can also form during thermal alteration; do not overinterpret as fresh protein without sample context,"For , CHON and protein-like/amino-sugar-like classes provide formula-level support",
M0049,compound,imidazole|methylimidazole,C3H4N2,Py-GC/MS,protein_microbial_N,N_heterocycle_nitrile_amide,P,N-containing aromatics,protein/amino acid/microbial biomass; N cycling,sediment;soil;peat;DOM/NOM;microbial biomass,A,PY001;PY002;PY004;PY005;PY006;PY012;PY013;PY014;PY015,histidine/protein-related N-heterocycle,N-containing aromatics can also form during thermal alteration; do not overinterpret as fresh protein without sample context,"For , CHON and protein-like/amino-sugar-like classes provide formula-level support",
M0050,compound,indole|methylindole|skatole,C8H7N,Py-GC/MS,protein_microbial_N,N_heterocycle_nitrile_amide,P,N-containing aromatics,protein/amino acid/microbial biomass; N cycling,sediment;soil;peat;DOM/NOM;microbial biomass,A,PY001;PY002;PY004;PY005;PY006;PY012;PY013;PY014;PY015,tryptophan/protein-derived marker,N-containing aromatics can also form during thermal alteration; do not overinterpret as fresh protein without sample context,"For , CHON and protein-like/amino-sugar-like classes provide formula-level support",
M0051,compound,quinoline|isoquinoline,C9H7N,Py-GC/MS,protein_microbial_N,N_heterocycle_nitrile_amide,P,N-containing aromatics,protein/amino acid/microbial biomass; N cycling,sediment;soil;peat;DOM/NOM;microbial biomass,B,PY001;PY002;PY004;PY005;PY006;PY012;PY013;PY014;PY015,N-containing aromatic; protein/char/microbial ambiguity,N-containing aromatics can also form during thermal alteration; do not overinterpret as fresh protein without sample context,"For , CHON and protein-like/amino-sugar-like classes provide formula-level support",
M0052,compound,carbazole,C12H9N,Py-GC/MS,protein_microbial_N,N_heterocycle_nitrile_amide,P,N-containing aromatics,protein/amino acid/microbial biomass; N cycling,sediment;soil;peat;DOM/NOM;microbial biomass,B,PY001;PY002;PY004;PY005;PY006;PY012;PY013;PY014;PY015,"N-containing aromatic, often sedimentary/thermally altered N",N-containing aromatics can also form during thermal alteration; do not overinterpret as fresh protein without sample context,"For , CHON and protein-like/amino-sugar-like classes provide formula-level support",
M0053,compound,pyrimidine|purine|uracil|thymine|cytosine|adenine|guanine,,Py-GC/MS,protein_microbial_N,N_heterocycle_nitrile_amide,P,N-containing aromatics,protein/amino acid/microbial biomass; N cycling,sediment;soil;peat;DOM/NOM;microbial biomass,B,PY001;PY002;PY004;PY005;PY006;PY012;PY013;PY014;PY015,nucleobase/N-containing biopolymer marker,N-containing aromatics can also form during thermal alteration; do not overinterpret as fresh protein without sample context,"For , CHON and protein-like/amino-sugar-like classes provide formula-level support",
M0054,compound,benzonitrile,C7H5N,Py-GC/MS,protein_microbial_N,N_heterocycle_nitrile_amide,P,N-containing aromatics,protein/amino acid/microbial biomass; N cycling,sediment;soil;peat;DOM/NOM;microbial biomass,B,PY001;PY002;PY004;PY005;PY006;PY012;PY013;PY014;PY015,N-containing aromatic; protein/peat nitrogen marker,N-containing aromatics can also form during thermal alteration; do not overinterpret as fresh protein without sample context,"For , CHON and protein-like/amino-sugar-like classes provide formula-level support",
M0055,compound,acetonitrile,C2H3N,Py-GC/MS,protein_microbial_N,N_heterocycle_nitrile_amide,P,N-containing aromatics,protein/amino acid/microbial biomass; N cycling,sediment;soil;peat;DOM/NOM;microbial biomass,B,PY001;PY002;PY004;PY005;PY006;PY012;PY013;PY014;PY015,small nitrile; protein/NOM pyrolysis but non-specific,N-containing aromatics can also form during thermal alteration; do not overinterpret as fresh protein without sample context,"For , CHON and protein-like/amino-sugar-like classes provide formula-level support",
M0056,compound,propionitrile,C3H5N,Py-GC/MS,protein_microbial_N,N_heterocycle_nitrile_amide,P,N-containing aromatics,protein/amino acid/microbial biomass; N cycling,sediment;soil;peat;DOM/NOM;microbial biomass,B,PY001;PY002;PY004;PY005;PY006;PY012;PY013;PY014;PY015,nitrile; protein/NOM pyrolysis marker,N-containing aromatics can also form during thermal alteration; do not overinterpret as fresh protein without sample context,"For , CHON and protein-like/amino-sugar-like classes provide formula-level support",
M0057,compound,amide|acetamide|formamide|benzamide,,Py-GC/MS,protein_microbial_N,N_heterocycle_nitrile_amide,P,N-containing aromatics,protein/amino acid/microbial biomass; N cycling,sediment;soil;peat;DOM/NOM;microbial biomass,B,PY001;PY002;PY004;PY005;PY006;PY012;PY013;PY014;PY015,protein/microbial/N-containing pyrolysis product,N-containing aromatics can also form during thermal alteration; do not overinterpret as fresh protein without sample context,"For , CHON and protein-like/amino-sugar-like classes provide formula-level support",
